Driver,Team,GridPosition,Position,Points,Status,Laps,Race,Year
RUS,Mercedes,5.0,3.0,15.0,Finished,51.0,Azerbaijan,2024
NOR,McLaren,15.0,4.0,13.0,Finished,51.0,Azerbaijan,2024
VER,Red Bull Racing,6.0,5.0,10.0,Finished,51.0,Azerbaijan,2024
ALO,Aston Martin,7.0,6.0,8.0,Finished,51.0,Azerbaijan,2024
ALB,Williams,9.0,7.0,6.0,Finished,51.0,Azerbaijan,2024
COL,Williams,8.0,8.0,4.0,Finished,51.0,Azerbaijan,2024
HAM,Mercedes,19.0,9.0,2.0,Finished,51.0,Azerbaijan,2024
BEA,Haas F1 Team,10.0,10.0,1.0,Finished,51.0,Azerbaijan,2024
HUL,Haas F1 Team,12.0,11.0,0.0,Finished,51.0,Azerbaijan,2024
GAS,Alpine,18.0,12.0,0.0,Finished,51.0,Azerbaijan,2024
RIC,RB,14.0,13.0,0.0,Finished,51.0,Azerbaijan,2024
ZHO,Kick Sauber,17.0,14.0,0.0,Finished,51.0,Azerbaijan,2024
OCO,Alpine,20.0,15.0,0.0,Lapped,50.0,Azerbaijan,2024
BOT,Kick Sauber,16.0,16.0,0.0,Lapped,50.0,Azerbaijan,2024
PER,Red Bull Racing,4.0,17.0,0.0,Finished,49.0,Azerbaijan,2024
SAI,Ferrari,3.0,18.0,0.0,Finished,49.0,Azerbaijan,2024
STR,Aston Martin,13.0,19.0,0.0,Finished,45.0,Azerbaijan,2024
TSU,RB,11.0,20.0,0.0,Retired,14.0,Azerbaijan,2024
NOR,McLaren,5.0,1.0,25.0,Finished,57.0,Miami,2024
VER,Red Bull Racing,1.0,2.0,18.0,Finished,57.0,Miami,2024
LEC,Ferrari,2.0,3.0,15.0,Finished,57.0,Miami,2024
PER,Red Bull Racing,4.0,4.0,12.0,Finished,57.0,Miami,2024
SAI,Ferrari,3.0,5.0,10.0,Finished,57.0,Miami,2024
HAM,Mercedes,8.0,6.0,8.0,Finished,57.0,Miami,2024
TSU,RB,10.0,7.0,6.0,Finished,57.0,Miami,2024
RUS,Mercedes,7.0,8.0,4.0,Finished,57.0,Miami,2024
ALO,Aston Martin,15.0,9.0,2.0,Finished,57.0,Miami,2024
OCO,Alpine,13.0,10.0,1.0,Finished,57.0,Miami,2024
HUL,Haas F1 Team,9.0,11.0,0.0,Finished,57.0,Miami,2024
GAS,Alpine,12.0,12.0,0.0,Finished,57.0,Miami,2024
PIA,McLaren,6.0,13.0,0.0,Finished,57.0,Miami,2024
ZHO,Kick Sauber,19.0,14.0,0.0,Finished,57.0,Miami,2024
RIC,RB,20.0,15.0,0.0,Finished,57.0,Miami,2024
BOT,Kick Sauber,16.0,16.0,0.0,Finished,57.0,Miami,2024
STR,Aston Martin,11.0,17.0,0.0,Finished,57.0,Miami,2024
ALB,Williams,14.0,18.0,0.0,Finished,57.0,Miami,2024
MAG,Haas F1 Team,18.0,19.0,0.0,Finished,57.0,Miami,2024
SAR,Williams,17.0,20.0,0.0,Retired,27.0,Miami,2024
LEC,Ferrari,1.0,1.0,25.0,Finished,78.0,Monaco,2024
PIA,McLaren,2.0,2.0,18.0,Finished,78.0,Monaco,2024
SAI,Ferrari,3.0,3.0,15.0,Finished,78.0,Monaco,2024
NOR,McLaren,4.0,4.0,12.0,Finished,78.0,Monaco,2024
RUS,Mercedes,5.0,5.0,10.0,Finished,78.0,Monaco,2024
VER,Red Bull Racing,6.0,6.0,8.0,Finished,78.0,Monaco,2024
HAM,Mercedes,7.0,7.0,7.0,Finished,78.0,Monaco,2024
TSU,RB,8.0,8.0,4.0,Lapped,77.0,Monaco,2024
ALB,Williams,9.0,9.0,2.0,Lapped,77.0,Monaco,2024
GAS,Alpine,10.0,10.0,1.0,Lapped,77.0,Monaco,2024
ALO,Aston Martin,14.0,11.0,0.0,Lapped,76.0,Monaco,2024
RIC,RB,12.0,12.0,0.0,Lapped,76.0,Monaco,2024
BOT,Kick Sauber,17.0,13.0,0.0,Lapped,76.0,Monaco,2024
STR,Aston Martin,13.0,14.0,0.0,Lapped,76.0,Monaco,2024
SAR,Williams,15.0,15.0,0.0,Lapped,76.0,Monaco,2024
ZHO,Kick Sauber,18.0,16.0,0.0,Lapped,76.0,Monaco,2024
OCO,Alpine,11.0,17.0,0.0,Retired,0.0,Monaco,2024
PER,Red Bull Racing,16.0,18.0,0.0,Retired,0.0,Monaco,2024
HUL,Haas F1 Team,19.0,19.0,0.0,Retired,0.0,Monaco,2024
MAG,Haas F1 Team,20.0,20.0,0.0,Retired,0.0,Monaco,2024
VER,Red Bull Racing,2.0,1.0,25.0,Finished,66.0,Spain,2024
NOR,McLaren,1.0,2.0,19.0,Finished,66.0,Spain,2024
HAM,Mercedes,3.0,3.0,15.0,Finished,66.0,Spain,2024
RUS,Mercedes,4.0,4.0,12.0,Finished,66.0,Spain,2024
LEC,Ferrari,5.0,5.0,10.0,Finished,66.0,Spain,2024
SAI,Ferrari,6.0,6.0,8.0,Finished,66.0,Spain,2024
PIA,McLaren,9.0,7.0,6.0,Finished,66.0,Spain,2024
PER,Red Bull Racing,11.0,8.0,4.0,Finished,66.0,Spain,2024
GAS,Alpine,7.0,9.0,2.0,Finished,66.0,Spain,2024
OCO,Alpine,8.0,10.0,1.0,Finished,66.0,Spain,2024
HUL,Haas F1 Team,13.0,11.0,0.0,Finished,66.0,Spain,2024
ALO,Aston Martin,10.0,12.0,0.0,Lapped,65.0,Spain,2024
ZHO,Kick Sauber,15.0,13.0,0.0,Lapped,65.0,Spain,2024
STR,Aston Martin,14.0,14.0,0.0,Lapped,65.0,Spain,2024
RIC,RB,18.0,15.0,0.0,Lapped,65.0,Spain,2024
BOT,Kick Sauber,12.0,16.0,0.0,Lapped,65.0,Spain,2024
MAG,Haas F1 Team,16.0,17.0,0.0,Lapped,65.0,Spain,2024
ALB,Williams,20.0,18.0,0.0,Lapped,65.0,Spain,2024
TSU,RB,17.0,19.0,0.0,Lapped,65.0,Spain,2024
SAR,Williams,19.0,20.0,0.0,Lapped,64.0,Spain,2024
VER,Red Bull Racing,2.0,1.0,25.0,Finished,70.0,Canada,2024
NOR,McLaren,3.0,2.0,18.0,Finished,70.0,Canada,2024
RUS,Mercedes,1.0,3.0,15.0,Finished,70.0,Canada,2024
HAM,Mercedes,7.0,4.0,13.0,Finished,70.0,Canada,2024
PIA,McLaren,4.0,5.0,10.0,Finished,70.0,Canada,2024
ALO,Aston Martin,6.0,6.0,8.0,Finished,70.0,Canada,2024
STR,Aston Martin,9.0,7.0,6.0,Finished,70.0,Canada,2024
RIC,RB,5.0,8.0,4.0,Finished,70.0,Canada,2024
GAS,Alpine,15.0,9.0,2.0,Finished,70.0,Canada,2024
OCO,Alpine,18.0,10.0,1.0,Finished,70.0,Canada,2024
HUL,Haas F1 Team,17.0,11.0,0.0,Finished,70.0,Canada,2024
MAG,Haas F1 Team,14.0,12.0,0.0,Finished,70.0,Canada,2024
BOT,Kick Sauber,19.0,13.0,0.0,Finished,70.0,Canada,2024
TSU,RB,8.0,14.0,0.0,Finished,70.0,Canada,2024
ZHO,Kick Sauber,20.0,15.0,0.0,Lapped,69.0,Canada,2024
SAI,Ferrari,12.0,16.0,0.0,Retired,52.0,Canada,2024
ALB,Williams,10.0,17.0,0.0,Retired,52.0,Canada,2024
PER,Red Bull Racing,16.0,18.0,0.0,Retired,51.0,Canada,2024
LEC,Ferrari,11.0,19.0,0.0,Retired,40.0,Canada,2024
SAR,Williams,13.0,20.0,0.0,Retired,23.0,Canada,2024
RUS,Mercedes,3.0,1.0,25.0,Finished,71.0,Austria,2024
PIA,McLaren,7.0,2.0,18.0,Finished,71.0,Austria,2024
SAI,Ferrari,4.0,3.0,15.0,Finished,71.0,Austria,2024
HAM,Mercedes,5.0,4.0,12.0,Finished,71.0,Austria,2024
VER,Red Bull Racing,1.0,5.0,10.0,Finished,71.0,Austria,2024
HUL,Haas F1 Team,9.0,6.0,8.0,Finished,71.0,Austria,2024
PER,Red Bull Racing,8.0,7.0,6.0,Finished,71.0,Austria,2024
MAG,Haas F1 Team,12.0,8.0,4.0,Finished,71.0,Austria,2024
RIC,RB,11.0,9.0,2.0,Finished,71.0,Austria,2024
GAS,Alpine,13.0,10.0,1.0,Finished,71.0,Austria,2024
LEC,Ferrari,6.0,11.0,0.0,Finished,71.0,Austria,2024
OCO,Alpine,10.0,12.0,0.0,Finished,71.0,Austria,2024
STR,Aston Martin,17.0,13.0,0.0,Lapped,70.0,Austria,2024
TSU,RB,14.0,14.0,0.0,Lapped,70.0,Austria,2024
ALB,Williams,16.0,15.0,0.0,Lapped,70.0,Austria,2024
BOT,Kick Sauber,18.0,16.0,0.0,Lapped,70.0,Austria,2024
ZHO,Kick Sauber,20.0,17.0,0.0,Lapped,70.0,Austria,2024
ALO,Aston Martin,15.0,18.0,0.0,Lapped,70.0,Austria,2024
SAR,Williams,19.0,19.0,0.0,Lapped,69.0,Austria,2024
NOR,McLaren,2.0,20.0,0.0,Lapped,64.0,Austria,2024
HAM,Mercedes,2.0,1.0,25.0,Finished,52.0,Britain,2024
VER,Red Bull Racing,4.0,2.0,18.0,Finished,52.0,Britain,2024
NOR,McLaren,3.0,3.0,15.0,Finished,52.0,Britain,2024
PIA,McLaren,5.0,4.0,12.0,Finished,52.0,Britain,2024
SAI,Ferrari,7.0,5.0,11.0,Finished,52.0,Britain,2024
HUL,Haas F1 Team,6.0,6.0,8.0,Finished,52.0,Britain,2024
STR,Aston Martin,8.0,7.0,6.0,Finished,52.0,Britain,2024
ALO,Aston Martin,10.0,8.0,4.0,Finished,52.0,Britain,2024
ALB,Williams,9.0,9.0,2.0,Finished,52.0,Britain,2024
TSU,RB,13.0,10.0,1.0,Finished,52.0,Britain,2024
SAR,Williams,12.0,11.0,0.0,Finished,52.0,Britain,2024
MAG,Haas F1 Team,17.0,12.0,0.0,Finished,52.0,Britain,2024
RIC,RB,15.0,13.0,0.0,Lapped,51.0,Britain,2024
LEC,Ferrari,11.0,14.0,0.0,Lapped,51.0,Britain,2024
BOT,Kick Sauber,16.0,15.0,0.0,Lapped,51.0,Britain,2024
OCO,Alpine,18.0,16.0,0.0,Lapped,50.0,Britain,2024
PER,Red Bull Racing,20.0,17.0,0.0,Lapped,50.0,Britain,2024
ZHO,Kick Sauber,14.0,18.0,0.0,Lapped,50.0,Britain,2024
RUS,Mercedes,1.0,19.0,0.0,Retired,33.0,Britain,2024
GAS,Alpine,19.0,20.0,0.0,Did not start,0.0,Britain,2024
PIA,McLaren,2.0,1.0,25.0,Finished,70.0,Hungary,2024
NOR,McLaren,1.0,2.0,18.0,Finished,70.0,Hungary,2024
HAM,Mercedes,5.0,3.0,15.0,Finished,70.0,Hungary,2024
LEC,Ferrari,6.0,4.0,12.0,Finished,70.0,Hungary,2024
VER,Red Bull Racing,3.0,5.0,10.0,Finished,70.0,Hungary,2024
SAI,Ferrari,4.0,6.0,8.0,Finished,70.0,Hungary,2024
PER,Red Bull Racing,16.0,7.0,6.0,Finished,70.0,Hungary,2024
RUS,Mercedes,17.0,8.0,5.0,Finished,70.0,Hungary,2024
TSU,RB,10.0,9.0,2.0,Finished,70.0,Hungary,2024
STR,Aston Martin,8.0,10.0,1.0,Finished,70.0,Hungary,2024
ALO,Aston Martin,7.0,11.0,0.0,Finished,70.0,Hungary,2024
RIC,RB,9.0,12.0,0.0,Lapped,69.0,Hungary,2024
HUL,Haas F1 Team,11.0,13.0,0.0,Lapped,69.0,Hungary,2024
ALB,Williams,13.0,14.0,0.0,Lapped,69.0,Hungary,2024
MAG,Haas F1 Team,15.0,15.0,0.0,Lapped,69.0,Hungary,2024
BOT,Kick Sauber,12.0,16.0,0.0,Lapped,69.0,Hungary,2024
SAR,Williams,14.0,17.0,0.0,Lapped,69.0,Hungary,2024
OCO,Alpine,19.0,18.0,0.0,Lapped,69.0,Hungary,2024
ZHO,Kick Sauber,18.0,19.0,0.0,Lapped,69.0,Hungary,2024
GAS,Alpine,20.0,20.0,0.0,Retired,33.0,Hungary,2024
HAM,Mercedes,3.0,1.0,25.0,Finished,44.0,Belgium,2024
PIA,McLaren,5.0,2.0,18.0,Finished,44.0,Belgium,2024
LEC,Ferrari,1.0,3.0,15.0,Finished,44.0,Belgium,2024
VER,Red Bull Racing,11.0,4.0,12.0,Finished,44.0,Belgium,2024
NOR,McLaren,4.0,5.0,10.0,Finished,44.0,Belgium,2024
SAI,Ferrari,7.0,6.0,8.0,Finished,44.0,Belgium,2024
PER,Red Bull Racing,2.0,7.0,7.0,Finished,44.0,Belgium,2024
ALO,Aston Martin,8.0,8.0,4.0,Finished,44.0,Belgium,2024
OCO,Alpine,9.0,9.0,2.0,Finished,44.0,Belgium,2024
RIC,RB,13.0,10.0,1.0,Finished,44.0,Belgium,2024
STR,Aston Martin,15.0,11.0,0.0,Finished,44.0,Belgium,2024
ALB,Williams,10.0,12.0,0.0,Finished,44.0,Belgium,2024
GAS,Alpine,12.0,13.0,0.0,Finished,44.0,Belgium,2024
MAG,Haas F1 Team,17.0,14.0,0.0,Finished,44.0,Belgium,2024
BOT,Kick Sauber,14.0,15.0,0.0,Finished,44.0,Belgium,2024
TSU,RB,20.0,16.0,0.0,Finished,44.0,Belgium,2024
SAR,Williams,18.0,17.0,0.0,Finished,44.0,Belgium,2024
HUL,Haas F1 Team,16.0,18.0,0.0,Finished,44.0,Belgium,2024
ZHO,Kick Sauber,19.0,19.0,0.0,Retired,5.0,Belgium,2024
RUS,Mercedes,6.0,20.0,0.0,Disqualified,44.0,Belgium,2024
NOR,McLaren,1.0,1.0,26.0,Finished,72.0,Netherlands,2024
VER,Red Bull Racing,2.0,2.0,18.0,Finished,72.0,Netherlands,2024
LEC,Ferrari,6.0,3.0,15.0,Finished,72.0,Netherlands,2024
PIA,McLaren,3.0,4.0,12.0,Finished,72.0,Netherlands,2024
SAI,Ferrari,10.0,5.0,10.0,Finished,72.0,Netherlands,2024
PER,Red Bull Racing,5.0,6.0,8.0,Finished,72.0,Netherlands,2024
RUS,Mercedes,4.0,7.0,6.0,Finished,72.0,Netherlands,2024
HAM,Mercedes,14.0,8.0,4.0,Finished,72.0,Netherlands,2024
GAS,Alpine,9.0,9.0,2.0,Lapped,71.0,Netherlands,2024
ALO,Aston Martin,7.0,10.0,1.0,Lapped,71.0,Netherlands,2024
HUL,Haas F1 Team,12.0,11.0,0.0,Lapped,71.0,Netherlands,2024
RIC,RB,13.0,12.0,0.0,Lapped,71.0,Netherlands,2024
STR,Aston Martin,8.0,13.0,0.0,Lapped,71.0,Netherlands,2024
ALB,Williams,19.0,14.0,0.0,Lapped,71.0,Netherlands,2024
OCO,Alpine,15.0,15.0,0.0,Lapped,71.0,Netherlands,2024
SAR,Williams,18.0,16.0,0.0,Lapped,71.0,Netherlands,2024
TSU,RB,11.0,17.0,0.0,Lapped,71.0,Netherlands,2024
MAG,Haas F1 Team,20.0,18.0,0.0,Lapped,71.0,Netherlands,2024
BOT,Kick Sauber,16.0,19.0,0.0,Lapped,70.0,Netherlands,2024
ZHO,Kick Sauber,17.0,20.0,0.0,Lapped,70.0,Netherlands,2024
LEC,Ferrari,4.0,1.0,25.0,Finished,53.0,Italy,2024
PIA,McLaren,2.0,2.0,18.0,Finished,53.0,Italy,2024
NOR,McLaren,1.0,3.0,16.0,Finished,53.0,Italy,2024
SAI,Ferrari,5.0,4.0,12.0,Finished,53.0,Italy,2024
HAM,Mercedes,6.0,5.0,10.0,Finished,53.0,Italy,2024
VER,Red Bull Racing,7.0,6.0,8.0,Finished,53.0,Italy,2024
RUS,Mercedes,3.0,7.0,6.0,Finished,53.0,Italy,2024
PER,Red Bull Racing,8.0,8.0,4.0,Finished,53.0,Italy,2024
ALB,Williams,9.0,9.0,2.0,Finished,53.0,Italy,2024
MAG,Haas F1 Team,13.0,10.0,1.0,Finished,53.0,Italy,2024
ALO,Aston Martin,11.0,11.0,0.0,Finished,53.0,Italy,2024
COL,Williams,18.0,12.0,0.0,Finished,53.0,Italy,2024
RIC,RB,12.0,13.0,0.0,Finished,53.0,Italy,2024
OCO,Alpine,15.0,14.0,0.0,Lapped,52.0,Italy,2024
GAS,Alpine,14.0,15.0,0.0,Lapped,52.0,Italy,2024
BOT,Kick Sauber,19.0,16.0,0.0,Lapped,52.0,Italy,2024
HUL,Haas F1 Team,10.0,17.0,0.0,Lapped,52.0,Italy,2024
ZHO,Kick Sauber,20.0,18.0,0.0,Lapped,52.0,Italy,2024
STR,Aston Martin,17.0,19.0,0.0,Lapped,52.0,Italy,2024
TSU,RB,16.0,20.0,0.0,Retired,7.0,Italy,2024
NOR,McLaren,1.0,1.0,25.0,Finished,62.0,Singapore,2024
VER,Red Bull Racing,2.0,2.0,18.0,Finished,62.0,Singapore,2024
PIA,McLaren,5.0,3.0,15.0,Finished,62.0,Singapore,2024
RUS,Mercedes,4.0,4.0,12.0,Finished,62.0,Singapore,2024
LEC,Ferrari,9.0,5.0,10.0,Finished,62.0,Singapore,2024
HAM,Mercedes,3.0,6.0,8.0,Finished,62.0,Singapore,2024
SAI,Ferrari,10.0,7.0,6.0,Finished,62.0,Singapore,2024
ALO,Aston Martin,7.0,8.0,4.0,Lapped,61.0,Singapore,2024
HUL,Haas F1 Team,6.0,9.0,2.0,Lapped,61.0,Singapore,2024
PER,Red Bull Racing,13.0,10.0,1.0,Lapped,61.0,Singapore,2024
COL,Williams,12.0,11.0,0.0,Lapped,61.0,Singapore,2024
TSU,RB,8.0,12.0,0.0,Lapped,61.0,Singapore,2024
OCO,Alpine,15.0,13.0,0.0,Lapped,61.0,Singapore,2024
STR,Aston Martin,17.0,14.0,0.0,Lapped,61.0,Singapore,2024
ZHO,Kick Sauber,20.0,15.0,0.0,Lapped,61.0,Singapore,2024
BOT,Kick Sauber,19.0,16.0,0.0,Lapped,61.0,Singapore,2024
GAS,Alpine,18.0,17.0,0.0,Lapped,61.0,Singapore,2024
RIC,RB,16.0,18.0,0.0,Lapped,61.0,Singapore,2024
MAG,Haas F1 Team,14.0,19.0,0.0,Finished,57.0,Singapore,2024
ALB,Williams,11.0,20.0,0.0,Retired,15.0,Singapore,2024
VER,Red Bull Racing,1.0,1.0,26.0,Finished,53.0,Japan,2024
PER,Red Bull Racing,2.0,2.0,18.0,Finished,53.0,Japan,2024
SAI,Ferrari,4.0,3.0,15.0,Finished,53.0,Japan,2024
LEC,Ferrari,8.0,4.0,12.0,Finished,53.0,Japan,2024
NOR,McLaren,3.0,5.0,10.0,Finished,53.0,Japan,2024
ALO,Aston Martin,5.0,6.0,8.0,Finished,53.0,Japan,2024
RUS,Mercedes,9.0,7.0,6.0,Finished,53.0,Japan,2024
PIA,McLaren,6.0,8.0,4.0,Finished,53.0,Japan,2024
HAM,Mercedes,7.0,9.0,2.0,Finished,53.0,Japan,2024
TSU,RB,10.0,10.0,1.0,Lapped,52.0,Japan,2024
HUL,Haas F1 Team,12.0,11.0,0.0,Lapped,52.0,Japan,2024
STR,Aston Martin,16.0,12.0,0.0,Lapped,52.0,Japan,2024
MAG,Haas F1 Team,18.0,13.0,0.0,Lapped,52.0,Japan,2024
BOT,Kick Sauber,13.0,14.0,0.0,Lapped,52.0,Japan,2024
OCO,Alpine,15.0,15.0,0.0,Lapped,52.0,Japan,2024
GAS,Alpine,17.0,16.0,0.0,Lapped,52.0,Japan,2024
SAR,Williams,19.0,17.0,0.0,Lapped,52.0,Japan,2024
ZHO,Kick Sauber,20.0,18.0,0.0,Retired,12.0,Japan,2024
RIC,RB,11.0,19.0,0.0,Retired,0.0,Japan,2024
ALB,Williams,14.0,20.0,0.0,Retired,0.0,Japan,2024
VER,Red Bull Racing,2.0,1.0,25.0,Finished,57.0,Qatar,2024
LEC,Ferrari,5.0,2.0,18.0,Finished,57.0,Qatar,2024
PIA,McLaren,4.0,3.0,15.0,Finished,57.0,Qatar,2024
RUS,Mercedes,1.0,4.0,12.0,Finished,57.0,Qatar,2024
GAS,Alpine,11.0,5.0,10.0,Finished,57.0,Qatar,2024
SAI,Ferrari,7.0,6.0,8.0,Finished,57.0,Qatar,2024
ALO,Aston Martin,8.0,7.0,6.0,Finished,57.0,Qatar,2024
ZHO,Kick Sauber,12.0,8.0,4.0,Finished,57.0,Qatar,2024
MAG,Haas F1 Team,10.0,9.0,2.0,Finished,57.0,Qatar,2024
NOR,McLaren,3.0,10.0,2.0,Finished,57.0,Qatar,2024
BOT,Kick Sauber,13.0,11.0,0.0,Finished,57.0,Qatar,2024
HAM,Mercedes,6.0,12.0,0.0,Finished,57.0,Qatar,2024
TSU,RB,14.0,13.0,0.0,Finished,57.0,Qatar,2024
LAW,RB,17.0,14.0,0.0,Finished,57.0,Qatar,2024
ALB,Williams,16.0,15.0,0.0,Lapped,56.0,Qatar,2024
HUL,Haas F1 Team,18.0,16.0,0.0,Retired,39.0,Qatar,2024
PER,Red Bull Racing,9.0,17.0,0.0,Retired,38.0,Qatar,2024
STR,Aston Martin,15.0,18.0,0.0,Retired,8.0,Qatar,2024
COL,Williams,19.0,19.0,0.0,Retired,0.0,Qatar,2024
OCO,Alpine,20.0,20.0,0.0,Retired,0.0,Qatar,2024
LEC,Ferrari,4.0,1.0,25.0,Finished,56.0,United States,2024
SAI,Ferrari,3.0,2.0,18.0,Finished,56.0,United States,2024
VER,Red Bull Racing,2.0,3.0,15.0,Finished,56.0,United States,2024
NOR,McLaren,1.0,4.0,12.0,Finished,56.0,United States,2024
PIA,McLaren,5.0,5.0,10.0,Finished,56.0,United States,2024
RUS,Mercedes,20.0,6.0,8.0,Finished,56.0,United States,2024
PER,Red Bull Racing,9.0,7.0,6.0,Finished,56.0,United States,2024
HUL,Haas F1 Team,11.0,8.0,4.0,Finished,56.0,United States,2024
LAW,RB,19.0,9.0,2.0,Finished,56.0,United States,2024
COL,Williams,15.0,10.0,1.0,Finished,56.0,United States,2024
MAG,Haas F1 Team,8.0,11.0,0.0,Finished,56.0,United States,2024
GAS,Alpine,6.0,12.0,0.0,Finished,56.0,United States,2024
ALO,Aston Martin,7.0,13.0,0.0,Lapped,55.0,United States,2024
TSU,RB,10.0,14.0,0.0,Lapped,55.0,United States,2024
STR,Aston Martin,13.0,15.0,0.0,Lapped,55.0,United States,2024
ALB,Williams,14.0,16.0,0.0,Lapped,55.0,United States,2024
BOT,Kick Sauber,16.0,17.0,0.0,Lapped,55.0,United States,2024
OCO,Alpine,12.0,18.0,0.0,Lapped,55.0,United States,2024
ZHO,Kick Sauber,18.0,19.0,0.0,Lapped,55.0,United States,2024
HAM,Mercedes,17.0,20.0,0.0,Retired,1.0,United States,2024
SAI,Ferrari,1.0,1.0,25.0,Finished,71.0,Mexico,2024
NOR,McLaren,3.0,2.0,18.0,Finished,71.0,Mexico,2024
LEC,Ferrari,4.0,3.0,16.0,Finished,71.0,Mexico,2024
HAM,Mercedes,6.0,4.0,12.0,Finished,71.0,Mexico,2024
