Driver,Team,GridPosition,Position,Points,Status,Laps,Race,Year
VER,Red Bull Racing,1.0,1.0,26.0,Finished,57.0,Bahrain,2024
PER,Red Bull Racing,5.0,2.0,18.0,Finished,57.0,Bahrain,2024
SAI,Ferrari,4.0,3.0,15.0,Finished,57.0,Bahrain,2024
LEC,Ferrari,2.0,4.0,12.0,Finished,57.0,Bahrain,2024
RUS,Mercedes,3.0,5.0,10.0,Finished,57.0,Bahrain,2024
NOR,McLaren,7.0,6.0,8.0,Finished,57.0,Bahrain,2024
HAM,Mercedes,9.0,7.0,6.0,Finished,57.0,Bahrain,2024
PIA,McLaren,8.0,8.0,4.0,Finished,57.0,Bahrain,2024
ALO,Aston Martin,6.0,9.0,2.0,Finished,57.0,Bahrain,2024
STR,Aston Martin,12.0,10.0,1.0,Finished,57.0,Bahrain,2024
ZHO,Kick Sauber,17.0,11.0,0.0,Lapped,56.0,Bahrain,2024
MAG,Haas F1 Team,15.0,12.0,0.0,Lapped,56.0,Bahrain,2024
RIC,RB,14.0,13.0,0.0,Lapped,56.0,Bahrain,2024
TSU,RB,11.0,14.0,0.0,Lapped,56.0,Bahrain,2024
ALB,Williams,13.0,15.0,0.0,Lapped,56.0,Bahrain,2024
HUL,Haas F1 Team,10.0,16.0,0.0,Lapped,56.0,Bahrain,2024
OCO,Alpine,19.0,17.0,0.0,Lapped,56.0,Bahrain,2024
GAS,Alpine,20.0,18.0,0.0,Lapped,56.0,Bahrain,2024
BOT,Kick Sauber,16.0,19.0,0.0,Lapped,56.0,Bahrain,2024
SAR,Williams,18.0,20.0,0.0,Lapped,55.0,Bahrain,2024
VER,Red Bull Racing,1.0,1.0,25.0,Finished,50.0,Saudi Arabia,2024
PER,Red Bull Racing,3.0,2.0,18.0,Finished,50.0,Saudi Arabia,2024
LEC,Ferrari,2.0,3.0,16.0,Finished,50.0,Saudi Arabia,2024
PIA,McLaren,5.0,4.0,12.0,Finished,50.0,Saudi Arabia,2024
ALO,Aston Martin,4.0,5.0,10.0,Finished,50.0,Saudi Arabia,2024
RUS,Mercedes,7.0,6.0,8.0,Finished,50.0,Saudi Arabia,2024
BEA,Ferrari,11.0,7.0,6.0,Finished,50.0,Saudi Arabia,2024
NOR,McLaren,6.0,8.0,4.0,Finished,50.0,Saudi Arabia,2024
HAM,Mercedes,8.0,9.0,2.0,Finished,50.0,Saudi Arabia,2024
HUL,Haas F1 Team,15.0,10.0,1.0,Finished,50.0,Saudi Arabia,2024
ALB,Williams,12.0,11.0,0.0,Finished,50.0,Saudi Arabia,2024
MAG,Haas F1 Team,13.0,12.0,0.0,Finished,50.0,Saudi Arabia,2024
OCO,Alpine,17.0,13.0,0.0,Lapped,49.0,Saudi Arabia,2024
SAR,Williams,19.0,14.0,0.0,Lapped,49.0,Saudi Arabia,2024
TSU,RB,9.0,15.0,0.0,Lapped,49.0,Saudi Arabia,2024
RIC,RB,14.0,16.0,0.0,Lapped,49.0,Saudi Arabia,2024
BOT,Kick Sauber,16.0,17.0,0.0,Lapped,49.0,Saudi Arabia,2024
ZHO,Kick Sauber,20.0,18.0,0.0,Lapped,49.0,Saudi Arabia,2024
STR,Aston Martin,10.0,19.0,0.0,Retired,5.0,Saudi Arabia,2024
GAS,Alpine,18.0,20.0,0.0,Retired,1.0,Saudi Arabia,2024
SAI,Ferrari,2.0,1.0,25.0,Finished,58.0,Australia,2024
LEC,Ferrari,4.0,2.0,19.0,Finished,58.0,Australia,2024
NOR,McLaren,3.0,3.0,15.0,Finished,58.0,Australia,2024
PIA,McLaren,5.0,4.0,12.0,Finished,58.0,Australia,2024
PER,Red Bull Racing,6.0,5.0,10.0,Finished,58.0,Australia,2024
STR,Aston Martin,9.0,6.0,8.0,Finished,58.0,Australia,2024
TSU,RB,8.0,7.0,6.0,Finished,58.0,Australia,2024
ALO,Aston Martin,10.0,8.0,4.0,Finished,58.0,Australia,2024
HUL,Haas F1 Team,16.0,9.0,2.0,Finished,58.0,Australia,2024
MAG,Haas F1 Team,14.0,10.0,1.0,Lapped,57.0,Australia,2024
ALB,Williams,12.0,11.0,0.0,Lapped,57.0,Australia,2024
RIC,RB,18.0,12.0,0.0,Lapped,57.0,Australia,2024
GAS,Alpine,17.0,13.0,0.0,Lapped,57.0,Australia,2024
BOT,Kick Sauber,13.0,14.0,0.0,Lapped,57.0,Australia,2024
ZHO,Kick Sauber,19.0,15.0,0.0,Lapped,57.0,Australia,2024
OCO,Alpine,15.0,16.0,0.0,Lapped,57.0,Australia,2024
RUS,Mercedes,7.0,17.0,0.0,Retired,56.0,Australia,2024
HAM,Mercedes,11.0,18.0,0.0,Retired,15.0,Australia,2024
VER,Red Bull Racing,1.0,19.0,0.0,Retired,3.0,Australia,2024
PIA,McLaren,2.0,1.0,25.0,Finished,51.0,Azerbaijan,2024
LEC,Ferrari,1.0,2.0,18.0,Finished,51.0,Azerbaijan,2024
